Marca;Puntos
11,06;1000
11,07;998
11,08;996
11,09;994
11,1;992
11,11;991
11,12;989
11,13;987
11,14;985
11,15;983
11,16;981
11,17;980
11,18;978
11,19;976
11,2;974
11,21;972
11,22;971
11,23;969
11,24;967
11,25;965
11,26;963
11,27;961
11,28;959
11,29;957
11,3;954
11,31;952
11,32;950
11,33;948
11,34;945
11,35;943
11,36;941
11,37;939
11,38;937
11,39;935
11,4;933
11,41;931
11,42;929
11,43;927
11,44;924
11,45;923
11,46;921
11,47;919
11,48;917
11,49;915
11,5;913
11,51;911
11,52;909
11,53;907
11,54;904
11,55;903
11,56;901
11,57;899
11,58;897
11,59;895
11,6;893
11,61;891
11,62;889
11,63;887
11,64;884
11,65;883
11,66;881
11,67;879
11,68;877
11,69;875
11,7;873
11,71;871
11,72;869
11,73;867
11,74;865
11,75;864
11,76;862
11,77;860
11,78;858
11,79;856
11,8;854
11,81;852
11,82;850
11,83;848
11,84;846
11,85;845
11,86;843
11,87;841
11,88;839
11,89;837
11,9;836
11,91;834
11,92;832
11,93;830
11,94;828
11,95;827
11,96;825
11,97;823
11,98;821
11,99;819
12;818
12,01;816
12,02;814
12,03;812
12,04;810
12,05;809
12,06;807
12,07;805
12,08;803
12,09;801
12,1;800
12,11;798
12,12;796
12,13;794
12,14;792
12,15;791
12,16;789
12,17;787
12,18;786
12,19;784
12,2;782
12,21;780
12,22;779
12,23;777
12,24;775
12,25;774
12,26;772
12,27;770
12,28;769
12,29;767
12,3;765
12,31;763
12,32;762
12,33;760
12,34;758
12,35;757
12,36;755
12,37;753
12,38;752
12,39;750
12,4;748
12,41;746
12,42;745
12,43;743
12,44;741
12,45;740
12,46;738
12,47;736
12,48;735
12,49;733
12,5;731
12,51;729
12,52;728
12,53;726
12,54;724
12,55;723
12,56;721
12,57;720
12,58;718
12,59;716
12,6;715
12,61;713
12,62;712
12,63;710
12,64;708
12,65;707
12,66;705
12,67;704
12,68;702
12,69;700
12,7;699
12,71;697
12,72;696
12,73;694
12,74;692
12,75;691
12,76;689
12,77;688
12,78;686
12,79;684
12,8;683
12,81;681
12,82;680
12,83;678
12,84;676
12,85;675
12,86;673
12,87;672
12,88;670
12,89;668
12,9;667
12,91;665
12,92;664
12,93;662
12,94;660
12,95;659
12,96;657
12,97;656
12,98;654
12,99;653
13;651
13,01;650
13,02;648
13,03;647
13,04;645
13,05;644
13,06;642
13,07;641
13,08;639
13,09;638
13,1;636
13,11;635
13,12;633
13,13;632
13,14;630
13,15;629
13,16;627
13,17;626
13,18;624
13,19;623
13,2;621
13,21;620
13,22;618
13,23;617
13,24;615
13,25;614
13,26;612
13,27;611
13,28;609
13,29;608
13,3;606
13,31;605
13,32;603
13,33;602
13,34;600
13,35;599
13,36;597
13,37;596
13,38;594
13,39;593
13,4;591
13,41;590
13,42;588
13,43;587
13,44;585
13,45;584
13,46;582
13,47;581
13,48;580
13,49;578
13,5;577
13,51;575
13,52;574
13,53;573
13,54;571
13,55;570
13,56;568
13,57;567
13,58;566
13,59;564
13,6;563
13,61;561
13,62;560
13,63;559
13,64;557
13,65;556
13,66;554
13,67;553
13,68;552
13,69;550
13,7;549
13,71;547
13,72;546
13,73;545
13,74;543
13,75;542
13,76;540
13,77;539
13,78;538
13,79;536
13,8;535
13,81;533
13,82;532
13,83;531
13,84;529
13,85;528
13,86;526
13,87;525
13,88;524
13,89;522
13,9;521
13,91;519
13,92;518
13,93;517
13,94;515
13,95;514
13,96;513
13,97;511
13,98;510
13,99;509
14;507
14,01;506
14,02;505
14,03;503
14,04;502
14,05;501
14,06;500
14,07;498
14,08;497
14,09;496
14,1;494
14,11;493
14,12;492
14,13;490
14,14;489
14,15;488
14,16;487
14,17;485
14,18;484
14,19;483
14,2;481
14,21;480
14,22;479
14,23;477
14,24;476
14,25;475
14,26;474
14,27;472
14,28;471
14,29;470
14,3;468
14,31;467
14,32;466
14,33;464
14,34;463
14,35;462
14,36;461
14,37;460
14,38;458
14,39;457
14,4;456
14,41;455
14,42;454
14,43;452
14,44;451
14,45;450
14,46;449
14,47;448
14,48;446
14,49;445
14,5;444
14,51;443
14,52;442
14,53;440
14,54;439
14,55;438
14,56;437
14,57;436
14,58;434
14,59;433
14,6;432
14,61;431
14,62;430
14,63;428
14,64;427
14,65;426
14,66;425
14,67;424
14,68;422
14,69;421
14,7;420
14,71;419
14,72;418
14,73;416
14,74;415
14,75;414
14,76;413
14,77;412
14,78;411
14,79;410
14,8;408
14,81;407
14,82;406
14,83;405
14,84;404
14,85;403
14,86;402
14,87;401
14,88;400
14,89;399
14,9;397
14,91;396
14,92;395
14,93;394
14,94;393
14,95;392
14,96;391
14,97;390
14,98;389
14,99;388
15;386
15,01;385
15,02;384
15,03;383
15,04;382
15,05;381
15,06;380
15,07;379
15,08;378
15,09;377
15,1;375
15,11;374
15,12;373
15,13;372
15,14;371
15,15;370
15,16;369
15,17;368
15,18;367
15,19;366
15,2;364
15,21;363
15,22;362
15,23;361
15,24;360
15,25;359
15,26;358
15,27;357
15,28;356
15,29;355
15,3;354
15,31;353
15,32;352
15,33;351
15,34;350
15,35;349
15,36;348
15,37;347
15,38;346
15,39;345
15,4;344
15,41;343
15,42;342
15,43;341
15,44;340
15,45;339
15,46;338
15,47;337
15,48;336
15,49;335
15,5;334
15,51;333
15,52;332
15,53;331
15,54;330
15,55;329
15,56;328
15,57;327
15,58;326
15,59;325
15,6;324
15,61;323
15,62;322
15,63;321
15,64;320
15,65;319
15,66;318
15,67;317
15,68;316
15,69;315
15,7;314
15,71;313
15,72;312
15,73;311
15,74;310
15,75;309
15,76;308
15,77;307
15,78;306
15,79;305
15,8;304
15,81;303
15,82;302
15,83;301
15,84;300
15,85;299
15,86;298
15,87;297
15,88;296
15,89;295
15,9;294
15,91;293
15,92;292
15,93;291
15,94;290
15,95;289
15,96;288
15,97;287
15,98;286
15,99;285
16;284
16,01;283
16,02;282
16,03;281
16,04;280
16,05;279
16,06;278
16,07;277
16,08;276
16,09;275
16,1;274
16,11;273
16,12;272
16,13;271
16,14;270
16,15;269
16,16;268
16,17;267
16,18;266
16,2;265
16,21;264
16,22;263
16,23;262
16,24;261
16,25;260
16,26;259
16,27;258
16,28;257
16,3;256
16,31;255
16,32;254
16,33;253
16,34;252
16,35;251
16,36;250
16,37;249
16,38;248
16,4;247
16,41;246
16,42;245
16,43;244
16,44;243
16,45;242
16,46;241
16,47;240
16,48;239
16,5;238
16,51;237
16,52;236
16,53;235
