Marca;Puntos
9,53;1000
9,54;997
9,55;995
9,56;992
9,57;990
9,58;987
9,59;985
9,6;982
9,61;980
9,62;977
9,63;975
9,64;972
9,65;970
9,66;968
9,67;965
9,68;963
9,69;960
9,7;958
9,71;955
9,72;953
9,73;950
9,74;948
9,75;946
9,76;943
9,77;941
9,78;938
9,79;936
9,8;934
9,81;931
9,82;929
9,83;926
9,84;924
9,85;921
9,86;919
9,87;917
9,88;914
9,89;912
9,9;910
9,91;907
9,92;905
9,93;903
9,94;900
9,95;898
9,96;896
9,97;893
9,98;891
9,99;888
10;886
10,01;883
10,02;881
10,03;878
10,04;875
10,05;873
10,06;871
10,07;869
10,08;866
10,09;864
10,1;862
10,11;860
10,12;857
10,13;855
10,14;850
10,15;848
10,16;846
10,17;843
10,18;841
10,19;838
10,2;836
10,21;833
10,22;831
10,23;828
10,24;825
10,25;823
10,26;821
10,27;818
10,28;816
10,29;813
10,3;811
10,31;808
10,32;806
10,33;803
10,34;800
10,35;798
10,36;796
10,37;793
10,38;791
10,39;788
10,4;786
10,41;783
10,42;781
10,43;778
10,44;775
10,45;773
10,46;771
10,47;768
10,48;766
10,49;763
10,5;761
10,51;758
10,52;756
10,53;753
10,54;750
10,55;748
10,56;746
10,57;743
10,58;741
10,59;738
10,6;736
10,61;733
10,62;731
10,63;728
10,64;725
10,65;723
10,66;721
10,67;718
10,68;716
10,69;713
10,7;711
10,71;708
10,72;706
10,73;703
10,74;700
10,75;698
10,76;696
10,77;693
10,78;691
10,79;688
10,8;686
10,81;683
10,82;681
10,83;678
10,84;675
10,85;673
10,86;671
10,87;668
10,88;666
10,89;663
10,9;661
10,91;658
10,92;656
10,93;653
10,94;650
10,95;648
10,96;646
10,97;643
10,98;641
10,99;638
11;636
11,01;633
11,02;631
11,03;628
11,04;625
11,05;623
11,06;621
11,07;618
11,08;615
11,09;613
11,1;610
11,11;608
11,12;605
11,13;602
11,14;599
11,15;598
11,16;596
11,17;594
11,18;592
11,19;590
11,2;588
11,21;586
11,22;584
11,23;582
11,24;580
11,25;579
11,26;577
11,27;575
11,28;573
11,29;571
11,3;569
11,31;567
11,32;565
11,33;563
11,34;560
11,35;559
11,36;557
11,37;555
11,38;553
11,39;551
11,4;549
11,41;547
11,42;545
11,43;543
11,44;540
11,45;539
11,46;537
11,47;535
11,48;533
11,49;531
11,5;529
11,51;527
11,52;525
11,53;523
11,54;520
11,55;519
11,56;517
11,57;515
11,58;513
11,59;511
11,6;509
11,61;507
11,62;505
11,63;503
11,64;500
11,65;499
11,66;497
11,67;495
11,68;493
11,69;491
11,7;489
11,71;487
11,72;485
11,73;483
11,74;480
11,75;479
11,76;477
11,77;475
11,78;473
11,79;471
11,8;469
11,81;467
11,82;465
11,83;463
11,84;460
11,85;459
11,86;457
11,87;455
11,88;453
11,89;451
11,9;449
11,91;447
11,92;445
11,93;443
11,94;440
11,95;439
11,96;437
11,97;435
11,98;433
11,99;431
12;429
12,01;427
12,02;425
12,03;423
12,04;420
12,05;419
12,06;417
12,07;415
12,08;413
12,09;411
12,1;409
12,11;407
12,12;405
12,13;403
12,14;400
12,15;399
12,16;397
12,17;396
12,18;395
12,19;393
12,2;392
12,21;390
12,22;389
12,23;388
12,24;386
12,25;385
12,26;383
12,27;382
12,28;381
12,29;379
12,3;378
12,31;376
12,32;375
12,33;374
12,34;372
12,35;371
12,35;370
12,36;369
12,37;368
12,38;367
12,38;366
12,39;365
12,4;364
12,4;363
12,41;362
12,42;361
12,43;360
12,43;359
12,44;358
12,45;357
12,46;355
12,47;354
12,48;353
12,49;351
12,5;350
12,51;348
12,52;347
12,53;346
12,54;344
12,55;343
12,56;341
12,57;340
12,58;338
12,59;337
12,6;335
12,61;334
12,62;332
12,63;331
12,64;329
12,65;328
12,66;326
12,67;325
12,68;324
12,69;322
12,7;321
12,71;319
12,72;318
12,73;317
12,74;315
12,75;314
12,76;312
12,77;311
12,78;309
12,79;308
12,8;306
12,81;305
12,82;303
12,83;302
12,84;300
12,85;299
12,86;297
12,87;296
12,88;295
12,89;293
12,9;292
12,91;290
12,92;289
12,93;288
12,94;286
12,95;285
12,96;283
12,97;282
12,98;281
12,99;279
13;278
13,01;276
13,02;275
13,03;274
13,04;272
13,05;271
13,06;269
13,07;268
13,08;267
13,09;265
13,1;264
13,11;262
13,12;261
13,13;260
13,14;258
13,15;257
13,16;255
13,17;254
13,18;253
13,19;251
13,2;250
13,21;248
13,22;247
13,23;246
13,24;244
13,25;243
13,26;241
13,27;240
13,28;239
13,29;237
13,3;236
13,31;234
13,32;233
13,33;232
13,34;230
13,35;229
13,36;227
13,37;226
13,38;224
13,39;223
13,4;221
13,41;220
13,42;218
13,43;217
13,44;215
13,45;214
13,46;212
13,47;211
13,48;209
13,49;208
13,5;206
13,51;205
13,52;203
13,53;202
13,54;200
13,55;199
13,56;197
13,57;196
13,58;195
13,59;193
13,6;192
13,61;190
13,62;189
13,63;188
13,64;186
13,65;185
13,66;183
13,67;182
13,68;181
13,69;179
13,7;178
13,71;176
13,72;175
13,73;174
13,74;172
13,75;171
13,76;169
13,77;168
13,78;167
13,79;165
13,8;164
13,81;162
13,82;161
13,83;160
13,84;158
13,85;157
13,86;155
13,87;154
13,88;152
13,89;151
13,9;149
13,91;148
13,92;146
13,93;145
13,94;143
13,95;142
13,96;140
13,97;139
13,98;138
13,99;136
14;135
14,01;133
14,02;132
14,03;131
14,04;129
14,05;128
14,06;126
14,07;125
14,08;124
14,09;122
14,1;121
14,11;119
14,12;118
