Marca;Puntos
0,76;1
0,77;4
0,78;8
0,79;11
0,8;16
0,81;20
0,82;25
0,83;30
0,84;35
0,85;41
0,86;46
0,87;52
0,88;58
0,89;64
0,9;71
0,91;77
0,92;84
0,93;90
0,94;97
0,95;104
0,96;111
0,97;119
0,98;126
0,99;133
1;141
1,01;149
1,02;156
1,03;164
1,04;172
1,05;180
1,06;188
1,07;197
1,08;205
1,09;214
1,1;222
1,11;231
1,12;239
1,13;248
1,14;257
1,15;266
1,16;275
1,17;284
1,18;293
1,19;302
1,2;312
1,21;321
1,22;331
1,23;340
1,24;350
1,25;359
1,26;369
1,27;379
1,28;389
1,29;399
1,3;409
1,31;419
1,32;429
1,33;439
1,34;449
1,35;460
1,36;470
1,37;481
1,38;491
1,39;502
1,4;512
1,41;523
1,42;534
1,43;544
1,44;555
1,45;566
1,46;577
1,47;588
1,48;599
1,49;610
1,5;621
1,51;632
1,52;644
1,53;655
1,54;666
1,55;678
1,56;689
1,57;701
1,58;712
1,59;724
1,6;736
1,61;747
1,62;759
1,63;771
1,64;783
1,65;795
1,66;806
1,67;818
1,68;830
1,69;842
1,7;855
1,71;867
1,72;879
1,73;891
1,74;903
1,75;916
1,76;928
1,77;941
1,78;953
1,79;966
1,8;978
1,81;991
