Marca;Puntos
3,87;1
3,94;2
4,01;3
4,07;4
4,13;5
4,19;6
4,26;7
4,32;8
4,38;9
4,44;10
4,5;11
4,56;12
4,62;13
4,69;14
4,75;15
4,81;16
4,87;17
4,93;18
4,99;19
5,05;20
5,11;21
5,16;22
5,22;23
5,28;24
5,34;25
5,4;26
5,46;27
5,52;28
5,58;29
5,64;30
5,7;31
5,75;32
5,81;33
5,87;34
5,93;35
5,99;36
6,05;37
6,11;38
6,16;39
6,22;40
6,28;41
6,34;42
6,4;43
6,45;44
6,51;45
6,57;46
6,63;47
6,68;48
6,74;49
6,8;50
6,86;51
6,91;52
6,97;53
7,03;54
7,09;55
7,14;56
7,2;57
7,26;58
7,32;59
7,37;60
7,43;61
7,49;62
7,54;63
7,6;64
7,66;65
7,72;66
7,77;67
7,83;68
7,89;69
7,94;70
8;71
8,06;72
8,11;73
8,17;74
8,23;75
8,28;76
8,34;77
8,4;78
8,45;79
8,51;80
8,57;81
8,62;82
8,68;83
8,74;84
8,79;85
8,85;86
8,91;87
8,96;88
9,02;89
9,07;90
9,13;91
9,19;92
9,24;93
9,3;94
9,36;95
9,41;96
9,47;97
9,52;98
9,58;99
9,64;100
9,69;101
9,75;102
9,8;103
9,86;104
9,92;105
9,97;106
10,03;107
10,08;108
10,14;109
10,2;110
10,25;111
10,31;112
10,36;113
10,42;114
10,48;115
10,53;116
10,59;117
10,64;118
10,7;119
10,75;120
10,81;121
10,87;122
10,92;123
10,98;124
11,03;125
11,09;126
11,14;127
11,2;128
11,25;129
11,31;130
11,37;131
11,42;132
11,48;133
11,53;134
11,59;135
11,64;136
11,7;137
11,75;138
11,81;139
11,86;140
11,92;141
11,97;142
12,03;143
12,09;144
12,14;145
12,2;146
12,25;147
12,31;148
12,36;149
12,42;150
12,47;151
12,53;152
12,58;153
12,64;154
12,69;155
12,75;156
12,8;157
12,86;158
12,91;159
12,97;160
13,02;161
13,08;162
13,13;163
13,19;164
13,24;165
13,3;166
13,35;167
13,41;168
13,46;169
13,52;170
13,57;171
13,63;172
13,68;173
13,74;174
13,79;175
13,85;176
13,9;177
13,96;178
14,01;179
14,07;180
14,12;181
