Marca;Puntos
2,14;1
2,16;2
2,18;3
2,19;4
2,21;5
2,22;6
2,23;7
2,25;8
2,26;9
2,27;10
2,28;11
2,3;12
2,31;13
2,32;14
2,33;15
2,34;16
2,35;17
2,36;18
2,37;19
2,38;20
2,39;21
2,4;22
2,41;23
2,42;25
2,43;26
2,44;27
2,45;28
2,46;29
2,47;30
2,48;31
2,49;33
2,5;34
2,51;35
2,52;36
2,53;37
2,54;39
2,55;40
2,56;41
2,57;43
2,58;44
2,59;45
2,6;46
2,61;48
2,62;49
2,63;50
2,64;52
2,65;53
2,66;55
2,67;56
2,68;57
2,69;59
2,7;60
2,71;62
2,72;63
2,73;65
2,74;66
2,75;67
2,76;69
2,77;70
2,78;72
2,79;73
2,8;75
2,81;76
2,82;78
2,83;80
2,84;81
2,85;83
2,86;84
2,87;86
2,88;87
2,89;89
2,9;91
2,91;92
2,92;94
2,93;95
2,94;97
2,95;99
2,96;100
2,97;102
2,98;104
2,99;105
3;107
3,01;109
3,02;110
3,03;112
3,04;114
3,05;116
3,06;117
3,07;119
3,08;121
3,09;122
3,1;124
3,11;126
3,12;128
3,13;130
3,14;131
3,15;133
3,16;135
3,17;137
3,18;139
3,19;140
3,2;142
3,21;144
3,22;146
3,23;148
3,24;150
3,25;151
3,26;153
3,27;155
3,28;157
3,29;159
3,3;161
3,31;163
3,32;165
3,33;167
3,34;168
3,35;170
3,36;172
3,37;174
3,38;176
3,39;178
3,4;180
3,41;182
3,42;184
3,43;186
3,44;188
3,45;190
3,46;192
3,47;194
3,48;196
3,49;198
3,5;200
3,51;202
3,52;204
3,53;206
3,54;208
3,55;210
3,56;212
3,57;214
3,58;216
3,59;218
3,6;220
3,61;223
3,62;225
3,63;227
3,64;229
3,65;231
3,66;233
3,67;235
3,68;237
3,69;239
3,7;242
3,71;244
3,72;246
3,73;248
3,74;250
3,75;252
3,76;254
3,77;257
3,78;259
3,79;261
3,8;263
3,81;265
3,82;267
3,83;270
3,84;272
3,85;274
3,86;276
3,87;279
3,88;281
3,89;283
3,9;285
3,91;287
3,92;290
3,93;292
3,94;294
3,95;296
3,96;299
3,97;301
3,98;303
3,99;306
4;308
4,01;310
4,02;312
4,03;315
4,04;317
4,05;319
4,06;322
4,07;324
4,08;326
4,09;329
4,1;331
4,11;333
4,12;336
4,13;338
4,14;340
4,15;343
4,16;345
4,17;347
4,18;350
4,19;352
4,2;355
4,21;357
4,22;359
4,23;362
4,24;364
4,25;367
4,26;369
4,27;371
4,28;374
4,29;376
4,3;379
4,31;381
4,32;384
4,33;386
4,34;388
4,35;391
4,36;393
4,37;396
4,38;398
4,39;401
4,4;403
4,41;406
4,42;408
4,43;411
4,44;413
4,45;416
4,46;418
4,47;421
4,48;423
4,49;426
4,5;428
4,51;431
4,52;433
4,53;436
4,54;438
4,55;441
4,56;443
4,57;446
4,58;448
4,59;451
4,6;454
4,61;456
4,62;459
4,63;461
4,64;464
4,65;466
4,66;469
4,67;472
4,68;474
4,69;477
4,7;479
4,71;482
4,72;485
4,73;487
4,74;490
4,75;492
4,76;495
4,77;498
4,78;500
4,79;503
4,8;506
4,81;508
4,82;511
4,83;514
4,84;516
4,85;519
4,86;522
4,87;524
4,88;527
4,89;530
4,9;532
4,91;535
4,92;538
4,93;540
4,94;543
4,95;546
4,96;548
4,97;551
4,98;554
4,99;557
5;559
5,01;562
5,02;565
5,03;567
5,04;570
5,05;573
5,06;576
5,07;578
5,08;581
5,09;584
5,1;587
5,11;589
5,12;592
5,13;595
5,14;598
5,15;601
5,16;603
5,17;606
5,18;609
5,19;612
5,2;614
5,21;617
5,22;620
5,23;623
5,24;626
5,25;628
5,26;631
5,27;634
5,28;637
5,29;640
5,3;643
5,31;645
5,32;648
5,33;651
5,34;654
5,35;657
5,36;660
5,37;663
5,38;665
5,39;668
5,4;671
5,41;674
5,42;677
5,43;680
5,44;683
5,45;686
5,46;688
5,47;691
5,48;694
5,49;697
5,5;700
5,51;703
5,52;706
5,53;709
5,54;712
5,55;715
5,56;717
5,57;720
5,58;723
5,59;726
5,6;729
5,61;732
5,62;735
5,63;738
5,64;741
5,65;744
5,66;747
5,67;750
5,68;753
5,69;756
5,7;759
5,71;762
5,72;765
5,73;768
5,74;771
5,75;774
5,76;777
5,77;780
5,78;783
5,79;786
5,8;789
5,81;792
5,82;795
5,83;798
5,84;801
5,85;804
5,86;807
5,87;810
5,88;813
5,89;816
5,9;819
5,91;822
5,92;825
5,93;828
5,94;831
5,95;834
5,96;837
5,97;840
5,98;843
5,99;846
6;850
6,01;853
6,02;856
6,03;859
6,04;862
6,05;865
6,06;868
6,07;871
6,08;874
6,09;877
6,1;880
6,11;883
6,12;887
6,13;890
6,14;893
6,15;896
6,16;899
6,17;902
6,18;905
6,19;908
6,2;912
6,21;915
6,22;918
6,23;921
6,24;924
6,25;927
6,26;930
6,27;934
6,28;937
6,29;940
6,3;943
6,31;946
6,32;949
6,33;953
6,34;956
6,35;959
6,36;962
6,37;965
6,38;969
6,39;972
6,4;975
6,41;978
6,42;981
6,43;985
6,44;988
6,45;991
6,46;994
6,47;997
