Marca;Puntos
10:00.00;914
10:00.67;913
10:01.33;911
10:02.00;910
10:02.67;909
10:03.33;907
10:04.00;906
10:04.67;905
10:05.33;903
10:06.00;902
10:06.67;900
10:07.33;899
10:08.00;898
10:08.67;896
10:09.33;895
10:10.00;894
10:10.67;892
10:11.33;891
10:12.00;889
10:12.67;888
10:13.33;887
10:14.00;885
10:14.67;884
10:15.33;883
10:16.00;881
10:16.67;880
10:17.33;879
10:18.00;877
10:18.67;876
10:19.33;875
10:20.00;873
10:20.67;872
10:21.33;870
10:22.00;869
10:22.67;868
10:23.33;866
10:24.00;865
10:24.67;864
10:25.33;862
10:26.00;861
10:26.67;860
10:27.33;858
10:28.00;857
10:28.67;856
10:29.33;854
10:30.00;853
10:30.67;852
10:31.33;850
10:32.00;849
10:32.67;848
10:33.33;846
10:34.00;845
10:34.67;844
10:35.33;842
10:36.00;841
10:36.67;840
10:37.33;838
10:38.00;837
10:38.67;836
10:39.33;834
10:40.00;833
10:40.67;832
10:41.33;830
10:42.00;829
10:42.67;828
10:43.33;826
10:44.00;825
10:44.67;824
10:45.33;822
10:46.00;821
10:46.67;820
10:47.33;819
10:48.00;817
10:48.67;816
10:49.33;815
10:50.00;813
10:50.67;812
10:51.33;811
10:52.00;809
10:52.67;808
10:53.33;807
10:54.00;805
10:54.67;804
10:55.33;803
10:56.00;802
10:56.67;800
10:57.33;799
10:58.00;798
10:58.67;796
10:59.33;795
11:00.00;794
11:00.67;792
11:01.33;791
11:02.00;790
11:02.67;789
11:03.33;787
11:04.00;786
11:04.67;785
11:05.33;783
11:06.00;782
11:06.67;781
11:07.33;780
11:08.00;778
11:08.67;777
11:09.33;776
11:10.00;775
11:10.67;773
11:11.33;772
11:12.00;771
11:12.67;769
11:13.33;768
11:14.00;767
11:14.67;766
11:15.33;764
11:16.00;763
11:16.67;762
11:17.33;761
11:18.00;759
11:18.67;758
11:19.33;757
11:20.00;756
11:20.67;754
11:21.33;753
11:22.00;752
11:22.67;750
11:23.33;749
11:24.00;748
11:24.67;747
11:25.33;745
11:26.00;744
11:26.67;743
11:27.33;742
11:28.00;740
11:28.67;739
11:29.33;738
11:30.00;737
11:30.67;735
11:31.33;734
11:32.00;733
11:32.67;732
11:33.33;731
11:34.00;729
11:34.67;728
11:35.33;727
11:36.00;726
11:36.67;724
11:37.33;723
11:38.00;722
11:38.67;721
11:39.33;719
11:40.00;718
11:40.67;717
11:41.33;716
11:42.00;714
11:42.67;713
11:43.33;712
11:44.00;711
11:44.67;710
11:45.33;708
11:46.00;707
11:46.67;706
11:47.33;705
11:48.00;704
11:48.67;702
11:49.33;701
11:50.00;700
11:50.67;699
11:51.33;697
11:52.00;696
11:52.67;695
11:53.33;694
11:54.00;693
11:54.67;691
11:55.33;690
11:56.00;689
11:56.67;688
11:57.33;687
11:58.00;685
11:58.67;684
